order_id,customer_id,product_id,product_name,category,quantity,total_amount,order_date
1,2130,122,Laptop,Electronics,3,2516.38,2025-03-13
2,1087,131,Monitor,Electronics,3,1478.6,2025-04-10
3,1805,161,Phone,Electronics,4,5153.72,2025-07-11
4,1747,59,Phone,Electronics,1,758.84,2025-12-11
5,1699,563,Shoes,Clothing,4,721.68,2025-09-28
6,2154,167,Shoes,Clothing,4,1276.45,2025-11-03
7,1013,346,Laptop,Electronics,4,2898.0,2025-08-30
8,1955,206,Tablet,Electronics,4,1456.18,2025-09-21
9,2025,477,Jeans,Clothing,4,597.37,2025-02-23
10,1161,270,Cricket Bat,Sports,4,1564.44,2025-07-21
11,2016,338,Lamp,Home & Garden,4,935.88,2025-07-09
12,1216,493,Shoes,Clothing,2,443.87,2025-09-09
13,1064,344,Monitor,Electronics,1,1604.07,2025-12-11
14,2086,392,Shoes,Clothing,4,418.78,2025-05-19
15,1230,201,Chair,Home & Garden,3,1114.28,2025-02-10
16,2071,99,Table,Home & Garden,1,216.58,2025-03-03
17,1960,462,Jeans,Clothing,3,268.46,2025-08-15
18,1502,393,Novel,Books,2,117.24,2025-09-12
19,1891,241,Table,Home & Garden,2,186.4,2025-06-28
20,1484,171,Tablet,Electronics,4,2998.66,2025-08-19
21,2109,557,Laptop,Electronics,4,5456.29,2025-10-11
22,1795,340,Laptop,Electronics,2,893.87,2025-01-28
23,1189,283,Science Book,Books,4,248.09,2025-08-13
24,1709,225,Shoes,Clothing,1,179.77,2025-05-17
25,2136,564,Tablet,Electronics,4,6812.7,2025-11-14
26,2136,81,Monitor,Electronics,2,1279.62,2025-04-11
27,1219,225,Phone,Electronics,2,527.59,2025-02-23
28,2076,416,Table,Home & Garden,2,536.14,2025-06-21
29,2207,294,Jacket,Clothing,3,348.2,2025-05-03
30,1197,201,Tablet,Electronics,2,2281.46,2025-08-28
31,1659,403,Phone,Electronics,4,4003.15,2025-09-09
32,2171,489,Lamp,Home & Garden,3,487.6,2025-12-18
33,1337,473,Plant,Home & Garden,3,557.92,2025-12-26
34,1262,2,Monitor,Electronics,2,1006.41,2025-09-09
35,1452,9,Cricket Bat,Sports,4,1144.8,2025-02-06
36,1207,54,Monitor,Electronics,4,4496.91,2025-05-11
37,1586,422,Plant,Home & Garden,4,680.27,2025-04-23
38,2135,338,Table,Home & Garden,3,1686.84,2025-04-09
39,1956,398,Jacket,Clothing,4,375.93,2025-06-18
